frame,seconds,confirmedComponents
1060,0.06032,116
1061,0.064943,112
1062,0.060224,107
1063,0.061425,110
1064,0.065577,116
1065,0.062023,117
1066,0.064575,119
1067,0.06039,119
1068,0.060469,127
1069,0.062751,128
1070,0.062738,120
1071,0.061367,122
1072,0.061246,120
1073,0.063279,113
1074,0.061492,109
1075,0.057999,106
1076,0.059708,109
1077,0.063628,110
1078,0.064144,114
1079,0.059607,112
1080,0.059624,118
1081,0.059775,116
1082,0.062978,113
1083,0.065126,115
1084,0.060283,118
1085,0.059072,114
1086,0.057775,109
1087,0.056513,103
1088,0.057211,103
1089,0.05854,106
1090,0.060236,104
1091,0.056857,105
1092,0.057853,110
1093,0.057048,112
1094,0.058587,115
1095,0.057846,118
1096,0.058814,106
1097,0.056723,103
1098,0.063236,111
1099,0.058356,109
1100,0.058835,109
1101,0.060548,106
1102,0.061762,104
1103,0.0596,103
1104,0.059314,109
1105,0.061175,104
1106,0.062091,118
1107,0.060699,126
1108,0.062011,119
1109,0.059884,111
1110,0.063093,113
1111,0.061621,112
1112,0.063113,105
1113,0.058047,98
1114,0.055891,101
1115,0.058641,100
1116,0.059189,98
1117,0.058603,99
1118,0.061966,100
1119,0.058382,104
1120,0.058103,105
1121,0.057359,95
1122,0.057896,108
1123,0.058909,103
1124,0.060632,98
1125,0.061258,98
1126,0.067056,96
1127,0.058679,95
1128,0.057498,96
1129,0.057802,104
1130,0.061062,97
1131,0.061632,92
1132,0.057744,98
1133,0.059299,100
1134,0.058246,105
1135,0.05843,100
1136,0.058796,108
1137,0.058118,115
1138,0.057051,114
1139,0.057142,106
1140,0.05774,106
1141,0.059522,108
1142,0.059136,110
1143,0.057092,114
1144,0.058177,109
1145,0.059077,106
1146,0.06774,103
1147,0.060611,103
1148,0.057979,100
1149,0.060076,104
1150,0.06099,106
1151,0.062703,108
1152,0.059287,110
1153,0.065503,114
1154,0.064399,117
1155,0.062702,114
1156,0.062826,109
1157,0.071452,114
1158,0.066543,110
1159,0.065418,107
1160,0.066318,104
1161,0.063775,96
1162,0.06098,96
1163,0.065227,88
1164,0.058311,88
1165,0.064863,85
1166,0.063155,82
1167,0.06262,69
1168,0.062112,69
1169,0.063734,65
1170,0.061527,67
