frame,start,repetition,order,totalMs,perceptionMs,registrationMs,overheadMs,accepted,reason,rank,iterations,sourceComponents,mapComponents,x,y,psi,positionDifferenceM,yawDifferenceDeg
550,2,10,199,89.61,73.84,15.752,0.0179999999999971,1,accepted,3,7,97,72,484318.963452939,4976932.6128778,-1.20165116555198,0.0991931485191926,0.446110618179081
350,1,10,200,70.678,56.297,14.363,0.0180000000000131,1,accepted,3,6,92,85,484253.513405994,4977184.32287283,-1.50048869217652,0.276825374009838,-0.0173390802822748
700,2,10,201,78.84,65.018,13.803,0.0189999999999895,1,accepted,3,7,86,57,484338.416346514,4976756.31468095,-1.684209439972,0.144207008372831,0.0794456007554339
900,2,10,202,87.431,72.002,15.411,0.0180000000000025,1,accepted,3,7,94,64,484396.943437749,4976621.57082473,0.0816785012024783,0.372025793942765,0.739509030242552
1050,3,10,203,83.356,69.16,14.179,0.0169999999999977,1,accepted,3,7,88,60,484567.751059248,4976643.25616069,0.128001545817001,0.315151989027784,-0.174234493685339
350,2,10,204,81.024,65.711,15.296,0.0170000000000012,1,accepted,3,7,92,85,484253.513400358,4977184.32287391,-1.50048899856276,0.276823541978382,-0.0173566349211564
900,3,10,205,87.12,73.623,13.478,0.0190000000000143,1,accepted,3,6,94,64,484396.943446546,4976621.57080737,0.0816790516049394,0.372034793567822,0.739540565980606
120,1,10,206,81.041,59.182,21.84,0.0190000000000019,1,accepted,3,8,104,81,484199.299792639,4977468.70878437,-1.1067148870627,0.239459868377493,-0.146635277378864
900,1,10,207,85.725,70.6,15.106,0.0190000000000001,1,accepted,3,7,94,64,484396.94345131,4976621.57081372,0.0816793185819688,0.372039482852971,0.739555862637615
550,1,10,208,83.66,69.238,14.403,0.0189999999999984,1,accepted,3,6,97,72,484318.963467551,4976932.61288377,-1.20165136270671,0.0991958565882764,0.446099322044919
350,3,10,209,79.225,65.598,13.609,0.0180000000000096,1,accepted,3,6,92,85,484253.513400443,4977184.32287184,-1.50048901351725,0.276821775887118,-0.0173574917498781
260,1,10,210,77.013,65.433,11.563,0.0169999999999977,1,accepted,3,6,82,57,484229.745904705,4977312.00888434,-1.34325585920898,0.210781690787584,-0.345619048344313
550,2,11,211,86.198,70.396,15.784,0.0179999999999936,1,accepted,3,7,97,72,484318.963452939,4976932.6128778,-1.20165116555198,0.0991931485191926,0.446110618179081
700,3,11,212,80.207,69.786,10.402,0.018999999999993,1,accepted,3,5,86,57,484338.416344518,4976756.31468122,-1.68420950071304,0.144206564758083,0.0794421205501747
550,1,11,213,86.88,72.752,14.11,0.0180000000000007,1,accepted,3,6,97,72,484318.963467551,4976932.61288377,-1.20165136270671,0.0991958565882764,0.446099322044919
700,1,11,214,85.242,73.519,11.707,0.0159999999999982,1,accepted,3,6,86,57,484338.416353589,4976756.31467991,-1.68420922486605,0.144208480908875,0.0794579254189081
260,2,11,215,76.187,62.08,14.089,0.018000000000006,1,accepted,3,8,82,57,484229.745914492,4977312.00889569,-1.34325727183373,0.210796655863734,-0.345699985780731
1050,3,11,216,93.91,75.805,18.084,0.0210000000000043,1,accepted,3,7,88,60,484567.751059248,4976643.25616069,0.128001545817001,0.315151989027784,-0.174234493685339
120,3,11,217,83.951,66.396,17.536,0.0189999999999948,1,accepted,3,7,104,81,484199.299781229,4977468.70877656,-1.10671518479332,0.239446809598065,-0.146652336086767
120,2,11,218,79.835,60.909,18.908,0.0180000000000078,1,accepted,3,8,104,81,484199.342133934,4977468.71786419,-1.10944198920551,0.273429262011006,-0.302886720463031
260,3,11,219,75.304,62.448,12.838,0.0180000000000078,1,accepted,3,7,82,57,484229.745907595,4977312.00889249,-1.34325590595235,0.210789908761945,-0.345621726542112
700,2,11,220,84.797,71.653,13.125,0.0190000000000055,1,accepted,3,7,86,57,484338.416346514,4976756.31468095,-1.684209439972,0.144207008372831,0.0794456007554339
1050,2,11,221,80.751,64.787,15.945,0.0190000000000126,1,accepted,3,8,88,60,484567.751062949,4976643.25617664,0.128000263306228,0.315153040535861,-0.174307976139793
1050,1,11,222,80.433,64.452,15.963,0.0180000000000078,1,accepted,3,8,88,60,484567.751058829,4976643.25615888,0.128001691396435,0.315151868655589,-0.174226152598185
120,1,11,223,80.606,61.474,19.113,0.0189999999999877,1,accepted,3,8,104,81,484199.299792639,4977468.70878437,-1.1067148870627,0.239459868377493,-0.146635277378864
900,2,11,224,86.391,71.143,15.23,0.01799999999999,1,accepted,3,7,94,64,484396.943437749,4976621.57082473,0.0816785012024783,0.372025793942765,0.739509030242552
350,2,11,225,74.228,58.547,15.663,0.0180000000000042,1,accepted,3,7,92,85,484253.513400358,4977184.32287391,-1.50048899856276,0.276823541978382,-0.0173566349211564
900,1,11,226,87.848,72.835,14.994,0.0190000000000055,1,accepted,3,7,94,64,484396.94345131,4976621.57081372,0.0816793185819688,0.372039482852971,0.739555862637615
550,3,11,227,91.102,78.536,12.548,0.0180000000000025,1,accepted,3,5,97,72,484318.963452627,4976932.61287761,-1.20165124874851,0.0991930287240532,0.446105851368959
260,1,11,228,69.013,57.156,11.84,0.0170000000000066,1,accepted,3,6,82,57,484229.745904705,4977312.00888434,-1.34325585920898,0.210781690787584,-0.345619048344313
350,1,11,229,70.178,56.243,13.918,0.0169999999999959,1,accepted,3,6,92,85,484253.513405994,4977184.32287283,-1.50048869217652,0.276825374009838,-0.0173390802822748
900,3,11,230,84.123,70.555,13.551,0.0169999999999977,1,accepted,3,6,94,64,484396.943446546,4976621.57080737,0.0816790516049394,0.372034793567822,0.739540565980606
350,3,11,231,71.267,57.602,13.647,0.0179999999999918,1,accepted,3,6,92,85,484253.513400443,4977184.32287184,-1.50048901351725,0.276821775887118,-0.0173574917498781
