method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
baseline,900,1,5,205,98.264,82.725,15.518,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,5,206,78.581,70.89,7.668,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,550,1,5,207,78.887,72.232,6.634,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,1,5,208,91.815,76.746,15.046,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,1050,1,5,209,71.58,64.812,6.745,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,1050,1,5,210,86.6,70.723,15.857,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,1050,1,6,211,86.112,70.013,16.08,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,6,212,73.429,67.51,5.9,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,260,2,6,213,80.76,65.116,15.622,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,260,2,6,214,65.051,58.582,6.445,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,1050,3,6,215,72.586,65.942,6.621,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
baseline,1050,3,6,216,86.975,71.917,15.037,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
baseline,550,2,6,217,92.113,75.775,16.317,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
optimized,550,2,6,218,78.059,71.48,6.56,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,700,1,6,219,86.855,74.966,11.869,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,6,220,76.7,70.009,6.666,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,1050,2,6,221,69.414,63.226,6.168,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,1050,2,6,222,94.15,77.004,17.125,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,120,2,6,223,91.151,69.23,21.902,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,120,2,6,224,73.142,64.69,8.432,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,550,3,6,225,114.681,100.987,13.67,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,6,226,76.019,69.454,6.543,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
baseline,900,2,6,227,99.744,84.463,15.261,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,2,6,228,79.852,72.832,6.998,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,120,3,6,229,96.704,76.88,19.803,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,120,3,6,230,74.054,66.412,7.621,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
baseline,120,1,6,231,95.334,73.153,22.158,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,120,1,6,232,70.34,62.951,7.366,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,700,2,6,233,74.497,67.871,6.588,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
baseline,700,2,6,234,88.035,74.477,13.533,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,900,1,6,235,78.325,70.993,7.306,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
baseline,900,1,6,236,99.373,81.931,17.421,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
baseline,700,3,6,237,87.262,76.412,10.827,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,6,238,69.559,64.178,5.362,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,260,3,6,239,79.103,65.997,13.086,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,6,240,66.456,59.764,6.672,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,350,1,6,241,80.165,64.327,15.816,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,350,1,6,242,63.606,57.236,6.344,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,550,1,6,243,74.665,68.756,5.888,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,1,6,244,92.154,75.477,16.656,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,900,3,6,245,93.626,78.743,14.861,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
