scenario,time,positionErrorM,yawErrorDeg,lateralVelocityMps,sideSlipAngleRad
fusion_1.3,61.2,0.191695848376561,0.170786797132095,-0.00251248356625969,9.70984591579052e-05
fusion_1.3,61.3,0.189824986121355,0.26444917501163,-0.00604590504420436,-7.62982698318756e-05
fusion_1.3,61.4,0.169332609825694,0.385120459339834,-0.00941636826679316,-0.000330251396790492
fusion_1.3,61.5,0.168599121432918,0.225298140962508,-0.0156359315437727,-0.000595239857533816
fusion_1.3,61.6,0.170149298874885,0.203097707972498,-0.0227625122956034,-0.0010297322562861
fusion_1.3,61.7,0.195674654704056,0.227055223567939,-0.0277224968007892,-0.00155053404904048
fusion_1.3,61.8,0.174256270409512,0.287288265873936,-0.038320181567067,-0.00210288959562729
fusion_1.3,61.9,0.200040253481622,0.323189605261942,-0.0416834901662593,-0.00275404839429308
fusion_1.3,62,0.17484298091606,0.474147847480061,-0.0435043135993904,-0.00322038880372958
fusion_1.3,62.1,0.197363666475149,0.518498621807265,-0.0542546141717849,-0.00364782832707888
fusion_1.3,62.2,0.194753984049559,0.590759095877694,-0.0629650058812617,-0.00429663056798714
fusion_1.3,62.3,0.169148683485588,0.624866945101675,-0.0754457961370463,-0.00504011153775043
fusion_1.3,62.4,0.190505966473591,0.610939104013258,-0.0815831495631486,-0.00598972669367591
fusion_1.3,62.5,0.166531069218565,0.7102697318222,-0.0732009451708907,-0.00656332785230745
fusion_1.3,62.6,0.191133343521029,0.63234546937127,-0.0625451130919923,-0.00643888178101463
fusion_1.3,62.7,0.188017374623495,0.475028676998676,-0.0532454728408004,-0.00587446252807985
fusion_1.3,62.8,0.164457742448711,0.266705649003908,-0.0548472567340228,-0.0052198609683216
fusion_1.3,62.9,0.166360509705758,0.274570708887206,-0.0539735877644361,-0.00496972939971057
fusion_1.3,63,0.190928224335883,0.312411022402438,-0.0592227238627261,-0.00490876588634531
fusion_1.3,63.1,0.194912422180273,0.17017721695196,-0.0642686603859472,-0.0050301275147163
fusion_1.3,63.2,0.172635437442274,0.167201171101148,-0.0540860489820005,-0.00519291007282132
fusion_1.3,63.3,0.194745870216257,0.32254601104334,-0.0392894670120326,-0.0049201131885447
fusion_1.3,63.4,0.172468874630094,0.230639826350948,-0.024080817644634,-0.00404307095614218
fusion_1.3,63.5,0.170980430519616,0.379807389611259,-0.0136007653643316,-0.00298433363198865
fusion_1.3,63.6,0.172298594027885,0.663992159104315,-0.00500957704004226,-0.00185720898734954
fusion_1.3,63.7,0.19895241616412,0.808574364597045,-0.00129300812459661,-0.00106873713960448
fusion_1.3,63.8,0.169753769450345,0.791867640028698,0.00825648565731495,-0.000401903477432579
fusion_1.3,63.9,0.193742274227564,0.818328048579148,0.00610173637530585,0.000167779128661146
fusion_1.3,64,0.17102895134485,0.533366037068926,0.00717131806010458,0.000438583181395105
fusion_1.3,64.1,0.170442349034545,0.510726658573326,0.000896138989570909,0.00047981234833143
fusion_1.3,64.2,0.171566097206006,0.562583624190523,0.00116429470230639,0.000271060822291788
fusion_1.3,64.3,0.19619364790291,0.511005408144754,0.00580099162441099,0.000211163535020654
fusion_1.3,64.4,0.173915889041286,0.458029146053223,0.00324332874369204,0.00031775437408818
fusion_1.3,64.5,0.173979517279755,0.546818778597475,9.39357784034454e-05,0.000291722024877522
fusion_1.3,64.6,0.173519411631729,0.539863591551222,0.00368514144717998,0.00020913290303482
fusion_1.3,64.7,0.199211025068901,0.49050579047662,0.00404550978333633,0.000226951262293559
fusion_1.3,64.8,0.17035747453109,0.511338634402067,0.0172865349115812,0.000457499208007036
fusion_1.3,64.9,0.171864074834494,0.455979037472189,0.00777130501055256,0.000849160165079742
fusion_1.3,65,0.173995925372152,0.536478603301743,0.0124224830757198,0.000892036399819631
fusion_1.3,65.1,0.200192468309226,0.452433494353817,0.0152075714575904,0.00103155528524556
fusion_1.3,65.2,0.200926085925942,0.571844732895575,0.0155733735529245,0.00114663623733122
fusion_1.3,65.3,0.176842879706425,0.67447725918825,0.0215713045934535,0.00133502463890886
fusion_1.3,65.4,0.197428443633694,0.568502640189993,0.0188635331313063,0.00154851690715418
fusion_1.3,65.5,0.172130489676489,0.480858235982696,0.0194951060279736,0.00160739859447891
fusion_1.3,65.6,0.173672917612453,0.188600443862728,0.0105983163166562,0.00144854589759343
fusion_1.3,65.7,0.176924118851292,0.210793692988941,0.0139538138408536,0.00120624862957595
fusion_1.3,65.8,0.177284205147459,0.280605874305446,0.01125021156401,0.00117691749334597
fusion_1.3,65.9,0.201981444960164,0.273882986024789,0.00360503808267005,0.000991047109412111
fusion_1.3,66,0.178987497923199,0.281795266427235,0.00534538460928419,0.000686228971886776
fusion_1.3,66.1,0.179776684573827,0.355404181284643,0.00799261573508573,0.000552565285064148
fusion_1.3,66.2,0.17940678493488,0.374330403925787,0.00676445664857485,0.000534247181734156
fusion_1.3,66.3,0.201230349451236,0.347323929535506,0.00787295910964864,0.000552644216765356
fusion_1.3,66.4,0.202497269055437,0.259093639941963,-0.000697153865011742,0.000506435570479116
fusion_1.3,66.5,0.17939285165319,-0.0989520063698978,0.00807473621370681,0.000351339979419493
fusion_1.3,66.6,0.177864364966859,-0.101587218315382,0.000553327702868551,0.000443235252102604
fusion_1.3,66.7,0.199905494709554,0.11749115420223,-0.00845198739910443,0.000189022295110884
fusion_1.3,66.8,0.171915391377318,0.207693317898463,-0.00255802895039649,-0.000150527397774447
fusion_1.3,66.9,0.199197886294422,-0.12189428208725,-0.0041915281312581,-0.000193988875211277
fusion_1.3,67,0.18209787615171,-0.125122579166009,0.00222818194851267,-0.00019307522703723
fusion_1.3,67.1,0.209201436991784,-0.111550311141403,0.00127691689151177,-3.14511712164847e-05
fusion_1.3,67.2,0.20998830774957,-0.094628236137546,0.00644551327229751,9.06287968440073e-05
fusion_1.3,67.3,0.184722651804656,-0.0892268038703235,-0.00613661253086633,0.000155908945701106
fusion_1.3,67.4,0.183903613895996,-0.0995359513019459,-0.00291615147613193,-0.00012775453803454
fusion_1.3,67.5,0.202205484586776,-0.0350918116964486,-0.00430910916598435,-0.000249484443041302
fusion_1.3,67.6,0.178003269553296,-0.0288023566283259,0.0018890318180283,-0.000197539535273721
fusion_1.3,67.7,0.203009110091843,0.0717555596971572,-0.00726664340397227,-0.000139027827459577
fusion_1.3,67.8,0.182809870841427,-0.0942407246576592,0.00198874756073096,-0.000237639092325034
fusion_1.3,67.9,0.20670833964869,0.000202584413955987,0.00505251820555348,-1.90426080143179e-05
fusion_1.3,68,0.20890605225766,0.0118509386566703,5.79977270458399e-05,8.33668565773532e-05
fusion_1.3,68.1,0.208601776893575,0.061964721134187,0.00504895229302274,0.000127251418690769
fusion_1.3,68.2,0.187339092424633,-0.0214073860675995,-0.000942334542920606,0.000230838410102061
fusion_1.3,68.3,0.185158536031412,0.220612255538233,0.00333677194428953,0.000109871637115387
fusion_1.3,68.4,0.212035676501194,0.0152231919452312,0.0122338603142112,0.000246443530771307
fusion_1.3,68.5,0.209830030384341,0.0479549502729077,0.00160021438741982,0.000476594573238323
fusion_1.3,68.6,0.185666891536084,0.00941388875362218,0.0115448680081336,0.000393730302863774
fusion_1.3,68.7,0.208055009567919,0.0237787178935068,-0.00372711807855368,0.000439019038720652
fusion_1.3,68.8,0.183251355864974,0.0286637880536072,-8.95438510689538e-05,0.000184229964806002
fusion_1.3,68.9,0.206922353809327,0.130463489641028,0.0027540144587502,3.66577294733518e-05
fusion_1.3,69,0.184063976762764,0.0908744097865861,0.0120851116703486,0.000138905013172947
fusion_1.3,69.1,0.185562267650893,-0.132168083575018,0.00368955066657703,0.000459537679684041
fusion_1.3,69.2,0.18493903759635,0.0215228739834878,0.011824553778079,0.000489519512437306
fusion_1.3,69.3,0.204692972373719,0.18301127689152,0.0128702818749608,0.000717678336557886
fusion_1.3,69.4,0.203598977685777,0.233017770594858,0.00406541014298969,0.000725894340651969
fusion_1.3,69.5,0.180416298682479,0.225625065804482,0.00384764899208321,0.000573378898697134
fusion_1.3,69.6,0.203095762088297,0.238281626425658,0.00364265147472782,0.000395298549086953
fusion_1.3,69.7,0.182930507915978,0.157537244982895,0.00761126918875488,0.000402321193562666
fusion_1.3,69.8,0.205175244847475,0.102671416736129,-0.00114575212540601,0.000454211153618506
fusion_1.3,69.9,0.209137708219011,0.284222823589506,-0.00301176574101013,0.000200172405676248
