frameIdx,curb,roadMarking,pole,trafficSign
1113,117,38,240,6
1114,112,32,210,4
1115,118,33,160,4
1116,102,31,99,6
1117,89,37,162,5
1118,105,39,206,6
1119,108,37,124,6
1120,92,33,107,15
1121,108,31,110,47
1122,99,35,88,91
1123,92,34,71,102
1124,119,28,121,99
1125,109,34,62,97
1126,124,37,67,95
1127,102,40,85,84
1128,94,40,64,78
1129,93,39,41,76
1130,98,40,31,77
1131,101,41,84,78
1132,95,46,91,83
1133,99,48,43,85
1134,78,42,133,86
1135,86,46,68,75
1136,118,42,292,18
1137,114,41,316,18
1138,135,54,342,17
1139,117,52,156,17
1140,116,45,278,14
1141,112,38,79,15
1142,126,43,291,13
1143,115,44,64,13
1144,114,44,0,12
1145,114,45,144,13
1146,110,45,45,11
1147,116,38,132,10
1148,109,45,61,9
1149,130,30,16,9
1150,126,31,95,7
1151,115,32,23,8
1152,111,29,51,7
1153,124,25,62,8
1154,95,19,94,3
1155,139,28,129,5
1156,112,27,119,5
1157,116,31,132,7
1158,132,30,330,7
1159,135,24,181,7
1160,133,24,322,5
1161,131,28,252,5
1162,127,28,389,2
1163,126,32,449,3
1164,124,36,355,6
1165,111,35,641,5
1166,122,37,366,4
1167,121,30,381,7
1168,116,30,517,9
1169,108,24,144,14
1170,104,48,434,8
