source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,weight,robustWeight,stepX,stepY,stepYawDeg
90,71,curb,0.414252297701138,NaN,0.00172314115876086,0.00204122167452172,0.00191433860782275,-0.000618622028252051,-0.00209772665847185,0.0134870327531894
91,71,curb,1.79843832602307,NaN,0.00172314115876086,0.00202895127665624,0.00157557838743699,0.00094551524881208,0.00321275102757402,-0.0206246543171333
92,71,curb,0.0367546825729699,NaN,0.00172314115876086,0.000481545413034133,0.000478730121250981,5.37709872397888e-05,0.000186217941631705,-0.00117870123107852
93,76,curb,4.7292528191013,NaN,0.00272072512547887,0.00117926644680495,0.000671303905098912,0.000915054684758312,0.00322392277055517,-0.0200467045588746
94,71,curb,0.168239433617667,NaN,0.00172314115876086,0.00121355491512377,0.00118174435497001,-0.000319403796963776,-0.00114034565701881,0.00705795353469107
95,76,curb,0.503174099498674,NaN,0.00272072512547887,0.00125647952167116,0.00116286014468777,-0.000597138573228607,-0.00219125323342731,0.0132368408861104
96,76,curb,3.82288817128129,NaN,0.00272072512547887,0.00111531837226877,0.000692029903255951,0.000998037251357441,0.00365202175882895,-0.0221052379103601
97,76,curb,0.227179969049471,NaN,0.00272072512547887,0.000505909336700064,0.000488165122705309,-0.00018197436792368,-0.000673844268041753,0.00404461131444044
98,76,curb,0.231000890879547,NaN,0.00272072512547887,0.00125558155989082,0.00121082914220255,-0.000507147595311688,-0.00191927565291142,0.0113452483259283
99,76,curb,1.69504124817186,NaN,0.00272072512547887,0.00139277850417781,0.00109563504822763,0.00111237541953441,0.00419334987577948,-0.0248555856228314
100,146,pole,94.8138181092789,NaN,0.000304429102169065,0.0655004982248285,0.00405068917406745,-0.0745803786154488,-0.330279906154892,1.68222609055036
105,147,pole,3.45529156877143,NaN,0.000372624613405367,0.0597614256826997,0.0384850787707097,-0.0234825022273767,0.0119694648775482,0.0269293489978085
108,172,trafficSign,0.193620150597663,NaN,0.000234215350395996,0.108851539939527,0.105580730819296,0.0218178790064348,-0.00156629730022313,-0.0180463412025835
109,60,curb,9.29658540169459,NaN,0.00274627103144694,0.00190518492868264,0.000765917755996025,0.000796401542909709,0.00485337292110002,-0.0209143280434944
110,60,curb,1.83496829964186,NaN,0.00274627103144694,0.00453495077380178,0.00350569616179159,0.00107716224783424,0.0069293182471707,-0.0288896800874861
111,68,curb,0.26886599262754,NaN,0.00097718142650001,0.00432820946446086,0.00414969554267166,0.000442933392094987,0.00301495332154268,-0.0120985264504405
112,68,curb,1.52451830339139,NaN,0.00097718142650001,0.00362279475743027,0.00291239487134041,-0.000639135775436783,-0.00451098895225289,0.0177143518132297
113,68,curb,0.0387072048567205,NaN,0.00097718142650001,0.00399424918150993,0.00396966444313984,0.000121154221725345,0.000974492458800412,-0.00354880174511708
114,65,curb,2.48180308252013,NaN,0.000918154900082931,0.00320245388780765,0.00229223410212557,-0.000468914089134968,-0.00377096202944864,0.0137437364818316
