variant,population,samples,rmseMps,medianAbsMps,biasMps,estimatedMeanMps,referenceMeanMps,dynamicBranchRmseMps,meanDynamicParticipation,runtimeSeconds,designStatus
actual,all,11690,0.269555058665335,0.255599411706053,-0.178403611488338,0.0314997363190709,0.209903347807409,0.271116559076349,0.917349653366712,1.642823,Original certified design; grid certificate covers LPV branch only
front_13,moving_first60,5098,0.306638655266134,0.285885723102783,-0.258404800008774,0.0175167666488843,0.275921566657658,0.3090620405934,0.987606404051955,1.531541,Diagnostic perturbation; certificate not transferred
front_13,moving_later,5689,0.24507702761562,0.247073499873831,-0.147049911728293,0.0397739150070253,0.186823826735318,0.247047011592941,1,1.531541,Diagnostic perturbation; certificate not transferred
rear_07,all,11690,0.266448837648482,0.264606403921523,-0.183246763716742,0.0266565840906675,0.209903347807409,0.267617823798885,0.917349232032703,1.524151,Diagnostic perturbation; certificate not transferred
rear_07,moving,10787,0.270982948927528,0.272568745108289,-0.20640764130579,0.0225243042877914,0.228931945593582,0.272606190587407,0.99414225664803,1.524151,Diagnostic perturbation; certificate not transferred
rear_07,straight,6303,0.275902602454885,0.285815216471546,-0.265776681039506,0.0040754694524222,0.269852150491929,0.275375980504623,1,1.524151,Diagnostic perturbation; certificate not transferred
rear_07,turning,4484,0.263912553148777,0.240733196205731,-0.122954684695261,0.0484571780539225,0.171411862749184,0.268664519011128,0.985908234269022,1.524151,Diagnostic perturbation; certificate not transferred
rear_07,moving_first60,5098,0.306613791893406,0.300714382917871,-0.26189612451938,0.0140254421382783,0.275921566657658,0.308188823615369,0.987606404024452,1.524151,Diagnostic perturbation; certificate not transferred
rear_07,moving_later,5689,0.234498344635914,0.242985620501126,-0.156683561955662,0.0301402647796559,0.186823826735318,0.236209277366834,0.999999134249541,1.524151,Diagnostic perturbation; certificate not transferred
rear_13,all,11690,0.27197313621487,0.255198164055849,-0.176107407091243,0.0337959407161665,0.209903347807409,0.27372367885139,0.917349653366712,1.511319,Diagnostic perturbation; certificate not transferred
rear_13,moving,10787,0.276866674164539,0.262241647658749,-0.198670635747982,0.0302613098456002,0.228931945593582,0.279098880637612,0.994142713252699,1.511319,Diagnostic perturbation; certificate not transferred
rear_13,straight,6303,0.272616880603143,0.273484620822236,-0.261846660996517,0.00800548949541098,0.269852150491929,0.271902991431154,1,1.511319,Diagnostic perturbation; certificate not transferred
rear_13,turning,4484,0.282732473369275,0.251384946365535,-0.109866334422932,0.0615455283262519,0.171411862749184,0.28891101182689,0.985909332706705,1.511319,Diagnostic perturbation; certificate not transferred
rear_13,moving_first60,5098,0.306983648406131,0.276778345108183,-0.257325330839196,0.018596235818462,0.275921566657658,0.309433648655702,0.987606404051955,1.511319,Diagnostic perturbation; certificate not transferred
rear_13,moving_later,5689,0.246775278902251,0.246978638163457,-0.146109265458825,0.0407145612764932,0.186823826735318,0.248792766289678,1,1.511319,Diagnostic perturbation; certificate not transferred
