frame,milliseconds,legacyMilliseconds,legacyCount,candidateCount,retainedLegacy,fineCount,fineMatched,legacyFineMatched,subsetCount,subsetFineMatched,coarseCount,coarseShared,coarseMatchedNewTolerant,coarseMatchedOldTolerant
303,278.95,NaN,5,37,5,0,NaN,NaN,NaN,NaN,4,4,5,4
304,279.994,NaN,3,31,3,0,NaN,NaN,NaN,NaN,3,2,3,2
305,282.712,NaN,6,34,6,0,NaN,NaN,NaN,NaN,4,3,4,4
306,287.872,NaN,8,30,8,0,NaN,NaN,NaN,NaN,7,3,4,3
307,285.265,NaN,4,34,4,0,NaN,NaN,NaN,NaN,9,6,8,6
308,291.644,NaN,8,29,8,0,NaN,NaN,NaN,NaN,4,4,4,4
309,281.861,NaN,8,23,8,0,NaN,NaN,NaN,NaN,8,6,8,8
310,288.905,NaN,8,27,8,0,NaN,NaN,NaN,NaN,10,7,10,10
311,284.495,NaN,7,21,7,4,4,4,NaN,NaN,6,3,3,4
312,283.141,NaN,5,19,5,0,NaN,NaN,NaN,NaN,9,5,6,5
313,278.384,NaN,7,14,7,0,NaN,NaN,NaN,NaN,5,3,3,3
314,276.027,NaN,2,25,2,0,NaN,NaN,NaN,NaN,4,2,3,2
315,274.11,NaN,3,26,3,0,NaN,NaN,NaN,NaN,5,1,1,1
316,275.455,NaN,2,27,2,0,NaN,NaN,NaN,NaN,4,1,2,1
317,294.218,NaN,5,26,5,0,NaN,NaN,NaN,NaN,3,2,2,2
318,310.424,NaN,5,22,5,0,NaN,NaN,NaN,NaN,3,3,4,3
319,301.842,NaN,5,32,5,0,NaN,NaN,NaN,NaN,3,3,3,3
320,300.299,NaN,5,30,5,0,NaN,NaN,NaN,NaN,5,5,6,5
321,315.533,NaN,3,31,3,1,1,1,NaN,NaN,3,3,4,3
322,323.366,NaN,7,30,7,0,NaN,NaN,NaN,NaN,4,4,6,4
