frame,mechanism,class,mode,start,accepted,reason,referenceScore,optimizedScore,translationDifferenceM,yawDifferenceDeg,longitudinalDifferenceM,lateralDifferenceM
900,original_futureGrid,all,xy,2,1,accepted,0.434539058307539,0.445631960995386,0.0455950580433292,-0.172703316770216,0.00596965720377546,0.0452025719494363
900,original_futureGrid,all,xy,3,1,accepted,0.434539058307539,0.445631960995575,0.0455951612965491,-0.172702964394159,0.00596945870637798,0.0452027023131491
900,original_futureGrid,all,xyz,1,1,accepted,0.221647369698979,0.230474531710283,0.0533749970406395,-0.195876477824854,0.000680227459618943,0.0533706623501288
900,original_futureGrid,all,xyz,2,1,accepted,0.221647369698979,0.230474531710317,0.0533749840323607,-0.195876026831964,0.000680226389435337,0.0533706493544333
900,original_futureGrid,all,xyz,3,1,accepted,0.221647369698979,0.230474531710311,0.0533749457664535,-0.195875968590999,0.000680259548530868,0.0533706106627841
900,pitchCorrected_fixed,all,xy,1,0,searchBoundary,0.285110261413722,0.346335969424872,3.51965851291133,0.333322318052037,3.51725360000292,0.130089049407251
900,pitchCorrected_fixed,all,xy,2,0,searchBoundary,0.285110261413722,0.333051941995559,2.51764481788472,0.130718492841123,2.51453721480772,0.125052086623137
900,pitchCorrected_fixed,all,xy,3,0,searchBoundary,0.285110261413722,0.34103497089771,3.01852779207734,0.225616286705422,3.01585538385738,0.126989508234947
900,pitchCorrected_fixed,all,xyz,1,1,accepted,0.153079750362976,0.156084682886212,0.117477492415483,0.307879643909922,0.116993483598749,-0.0106529817262115
900,pitchCorrected_fixed,all,xyz,2,1,accepted,0.153079750362976,0.156084682926881,0.117494477737773,0.307863579799943,0.117010834122037,-0.0106497416371068
900,pitchCorrected_fixed,all,xyz,3,1,accepted,0.153079750362976,0.15608468291223,0.11748639861493,0.307872421304295,0.117002833530983,-0.0106485118785352
900,pitchCorrected_futureGrid,all,xy,1,1,accepted,0.434273512541581,0.447076095955886,0.0548988499070146,-0.17827648264366,0.00316185794402866,0.0548077218597408
900,pitchCorrected_futureGrid,all,xy,2,1,accepted,0.434273512541581,0.44707609596041,0.0548980644522664,-0.178278412218568,0.00316058954345818,0.054807008259373
