scenario,timeSeconds,positionErrorM,yawErrorDeg
fusion,23.9,0.116552813947978,-0.0617733774900704
fusion,24,0.176581982926693,-0.0597894144659063
fusion,24.1,0.199070671542577,0.00691576056236614
fusion,24.2,0.303195927916302,0.0589698749675176
fusion,24.3,0.254001148255087,0.153516182006873
fusion,24.4,0.245328712353893,0.261050306860031
fusion,24.5,0.247921474237099,0.270511865186959
fusion,24.6,0.210155675786786,0.276503174058982
fusion,24.7,0.265974951236426,0.616066446352865
fusion,24.8,0.105068234670967,0.675914649152556
fusion,24.9,0.13318681119563,0.464004829319585
fusion,25,0.219060852131684,0.606625254054465
fusion,25.1,0.362823348974229,0.655269315151767
fusion,25.2,0.301823252532297,0.497229598355225
fusion,25.3,0.282382891332492,0.396687879061936
fusion,25.4,0.25722400658053,0.30707527255559
fusion,25.5,0.268130666192632,0.255034875810098
fusion,25.6,0.241645760405995,0.213250404819156
fusion,25.7,0.227035858755488,0.307263458925477
fusion,25.8,0.14135485894857,0.28483314722744
fusion,25.9,0.221590492418713,0.176633010435803
fusion,26,0.345544388214434,0.11488010340201
fusion,26.1,0.254601746041795,0.105616318458927
fusion,26.2,0.34093152550847,0.133314998095212
fusion,26.3,0.291526014455298,0.0893259542623144
fusion,26.4,0.283673950693285,0.142779124932824
fusion,26.5,0.267789654997141,0.182980093322389
fusion,26.6,0.248542905711229,0.189021547620918
fusion,26.7,0.295297554487136,0.198686978610896
fusion,26.8,0.0385322510217305,0.0367492436247052
fusion,26.9,0.106857719761602,-0.00306126999066301
fusion,27,0.219468321122887,0.0185550864000453
fusion,27.1,0.369500312464072,0.0503585270034204
fusion,27.2,0.358292898388821,0.0584630283589453
fusion,27.3,0.451474487543666,0.085246047707074
fusion,27.4,0.353534059354385,0.204855455065023
fusion,27.5,0.3373441718421,0.258844201762092
fusion,27.6,0.302759929630246,0.140068918683023
fusion,27.7,0.283128520850006,0.153024530605705
fusion,27.8,0.172314760788618,0.376344679881563
fusion,27.9,0.205650046155683,0.396137180882959
fusion,28,0.275373169203239,0.444519087739447
fusion,28.1,0.268625022309758,0.470818862967128
fusion,28.2,0.362148577705385,0.531537174939007
fusion,28.3,0.28427940467758,0.564418247549
fusion,28.4,0.405349674792662,0.650108162907062
fusion,28.5,0.429730831994661,0.670561533083866
fusion,28.6,0.3511453279763,0.520173584421226
fusion,28.7,0.2698612207072,0.603648373304487
fusion,28.8,0.135084196285208,0.0147474699315634
fusion,28.9,0.123381185172247,0.223804510821524
fusion,29,0.162708072465499,0.398502382636166
fusion,29.1,0.249143551708295,0.492844102034389
fusion,29.2,0.389955391780234,0.325302775817911
fusion,29.3,0.282791612969944,0.354787477194802
fusion,29.4,0.239534269597971,0.338342223172691
fusion,29.5,0.23110294986763,0.335384972617027
fusion,29.6,0.220006204072788,0.242189656431604
fusion,29.7,0.352498228844194,-0.0170578243764693
fusion,29.8,0.164577292028982,-0.0815840343624444
fusion,29.9,0.168433168678877,-0.0772978963862157
fusion,30,0.181322893927907,-0.0859195275599308
fusion,30.1,0.215432783879936,-0.0653634655379096
fusion,30.2,0.276390781201713,-0.118305163077937
fusion,30.3,0.283859109075754,-0.170622438304766
fusion,30.4,0.341288701244785,-0.098325576540253
fusion,30.5,0.27917012490635,-0.06877330950908
fusion,30.6,0.255404315168894,0.0108172414375963
fusion,30.7,0.286376294887706,0.339880975270009
fusion,30.8,0.0214126501975727,0.478641088762097
fusion,30.9,0.0636480441574198,0.34825279648388
fusion,31,0.201452934824923,0.346631127503338
fusion,31.1,0.298491033453147,0.380014486501238
