frame,calibration,variant,start,accepted,reason,translationDifferenceM,yawDifferenceDeg,longitudinalDifferenceM,lateralDifferenceM,observableRank,matchedFraction,iterations,compatibility
550,Mississippi260CurbPitchCandidate,geometricHeight,2,0,degenerateGeometry,0.538510563244184,-0.00647647582156153,-0.529076750811567,0.100356457072992,2,0.988636363636364,8,0.512433323875078
550,Mississippi260CurbPitchCandidate,geometricHeight,3,0,degenerateGeometry,0.082137428517343,-0.0877391207366273,0.00312756352969482,0.0820778624831894,2,0.988636363636364,6,0.5187800469047
900,Mississippi260CurbPitchCandidate,densityXY,1,0,searchBoundary,3.51965800521915,0.333349273113286,3.51725326945273,0.130084250496874,NaN,NaN,48,0.346341278167438
900,Mississippi260CurbPitchCandidate,densityXY,2,0,searchBoundary,2.51764514192873,0.130727981255973,2.51453740321813,0.125054821955596,NaN,NaN,33,0.333057107930678
900,Mississippi260CurbPitchCandidate,densityXY,3,0,searchBoundary,3.01852799916737,0.22561666082561,3.01585551249357,0.126991375768318,NaN,NaN,32,0.341040253399442
900,Mississippi260CurbPitchCandidate,geometricXY,1,1,accepted,0.0837588528912475,-0.214794611168051,-0.0791053100373404,0.0275298994105299,3,0.904255319148936,7,0.612662280921176
900,Mississippi260CurbPitchCandidate,geometricXY,2,1,accepted,0.070879808492684,-0.0674984190012753,-0.0603979624922978,0.0370949238944973,3,0.904255319148936,7,0.626508101480265
900,Mississippi260CurbPitchCandidate,geometricXY,3,1,accepted,0.0829153537704161,-0.146454649600202,-0.0736788941024807,0.0380312562862273,3,0.904255319148936,5,0.618658662613927
900,Mississippi260CurbPitchCandidate,geometricHeight,1,1,accepted,0.0837588528912475,-0.214794611168051,-0.0791053100373404,0.0275298994105299,3,0.904255319148936,7,0.612662280921176
900,Mississippi260CurbPitchCandidate,geometricHeight,2,1,accepted,0.070879808492684,-0.0674984190012753,-0.0603979624922978,0.0370949238944973,3,0.904255319148936,7,0.626508101480265
900,Mississippi260CurbPitchCandidate,geometricHeight,3,1,accepted,0.0829153537704161,-0.146454649600202,-0.0736788941024807,0.0380312562862273,3,0.904255319148936,5,0.618658662613927
120,Mississippi260CurbPitchCandidate,densityXY,1,1,accepted,3.09468205429934,-1.85658056691588,3.07957936748413,0.305365251082018,NaN,NaN,63,0.396351647657509
120,Mississippi260CurbPitchCandidate,densityXY,2,1,accepted,0.0788680446220344,0.213982092900434,-0.0738825401248737,0.0275959911436359,NaN,NaN,53,0.430368358342338
120,Mississippi260CurbPitchCandidate,densityXY,3,1,accepted,0.0788678776062829,0.213981242129486,-0.0738822482883161,0.027596295149589,NaN,NaN,43,0.430368358342715
120,Mississippi260CurbPitchCandidate,geometricXY,1,1,accepted,0.0742354472670172,0.0423592728424835,-0.0530345598610208,0.051944557860106,3,1,7,0.833940948475317
120,Mississippi260CurbPitchCandidate,geometricXY,2,1,accepted,0.0742333095163031,0.0423752847291447,-0.0530371127320488,0.0519388959720093,3,1,7,0.833940950073761
120,Mississippi260CurbPitchCandidate,geometricXY,3,1,accepted,0.0742308780517021,0.0423928385058798,-0.0530399042684438,0.0519325698528484,3,1,5,0.833940943401167
120,Mississippi260CurbPitchCandidate,geometricHeight,1,1,accepted,0.0742366775319328,0.0423499235780414,-0.0530330670295101,0.0519478401131718,3,1,7,0.833940945841428
120,Mississippi260CurbPitchCandidate,geometricHeight,2,1,accepted,0.0742332935276569,0.0423754162780695,-0.0530371342901572,0.0519388511063837,3,1,7,0.833940950178341
120,Mississippi260CurbPitchCandidate,geometricHeight,3,1,accepted,0.0742308780517021,0.0423928385058798,-0.0530399042684438,0.0519325698528484,3,1,5,0.833940943401167
350,Mississippi260CurbPitchCandidate,densityXY,1,1,accepted,0.137966728772559,-0.0163597542764088,-0.113291415637195,0.0787392747688303,NaN,NaN,53,0.4456354770966
350,Mississippi260CurbPitchCandidate,densityXY,2,1,accepted,0.137966728772559,-0.0163597542757473,-0.113291415637195,0.0787392747688303,NaN,NaN,60,0.4456354770966
350,Mississippi260CurbPitchCandidate,densityXY,3,1,accepted,0.137966587276062,-0.0163561088185483,-0.113291639926431,0.0787387041256267,NaN,NaN,50,0.445635477097345
350,Mississippi260CurbPitchCandidate,geometricXY,1,1,accepted,0.140854121678464,0.132071049514099,-0.131700781318106,0.0499478507446702,3,1,6,0.857701890924795
350,Mississippi260CurbPitchCandidate,geometricXY,2,1,accepted,0.140844009386258,0.132004319069737,-0.131689584851655,0.0499488560589252,3,1,6,0.857704106358886
350,Mississippi260CurbPitchCandidate,geometricXY,3,1,accepted,0.140843214284972,0.131998410823754,-0.131688640148205,0.0499491047571326,3,1,5,0.857704277154922
350,Mississippi260CurbPitchCandidate,geometricHeight,1,1,accepted,0.140854296635712,0.132072521278388,-0.13170100583277,0.0499477521353865,3,1,6,0.857701854169296
350,Mississippi260CurbPitchCandidate,geometricHeight,2,1,accepted,0.140845151712818,0.132016222745681,-0.131691273043624,0.0499476262214378,3,1,6,0.857703877621811
350,Mississippi260CurbPitchCandidate,geometricHeight,3,1,accepted,0.140843214284972,0.131998410823754,-0.131688640148205,0.0499491047571326,3,1,5,0.857704277154922
700,Mississippi260CurbPitchCandidate,densityXY,1,1,accepted,2.64109611366626,-0.160435011143715,2.64092334077579,0.0302091007587566,NaN,NaN,59,0.327200977286389
700,Mississippi260CurbPitchCandidate,densityXY,2,0,searchBoundary,2.615679490768,-0.0737836872690311,2.6156434251776,0.0137357471409129,NaN,NaN,46,0.32711010587733
700,Mississippi260CurbPitchCandidate,densityXY,3,1,accepted,2.64109736588365,-0.16044612718356,2.64092457839284,0.0302103842765504,NaN,NaN,42,0.327200977285071
700,Mississippi260CurbPitchCandidate,geometricXY,1,1,accepted,0.121436957625844,0.394260406648967,-0.0555577241774616,0.107982748444565,3,0.885057471264368,4,0.504881808528908
700,Mississippi260CurbPitchCandidate,geometricXY,2,1,accepted,0.0195949787958951,-0.200731548211883,-0.0153442266354693,0.0121867921526106,3,0.885057471264368,7,0.545918119438351
700,Mississippi260CurbPitchCandidate,geometricXY,3,1,accepted,0.0196045149149881,-0.20067655428454,-0.0153482156482243,0.0121971013551416,3,0.885057471264368,4,0.545915961513856
700,Mississippi260CurbPitchCandidate,geometricHeight,1,1,accepted,0.121436957625844,0.394260406648967,-0.0555577241774616,0.107982748444565,3,0.885057471264368,4,0.504881808528908
700,Mississippi260CurbPitchCandidate,geometricHeight,2,1,accepted,0.0195949787958951,-0.200731548211883,-0.0153442266354693,0.0121867921526106,3,0.885057471264368,7,0.545918119438351
700,Mississippi260CurbPitchCandidate,geometricHeight,3,1,accepted,0.0196045149149881,-0.20067655428454,-0.0153482156482243,0.0121971013551416,3,0.885057471264368,4,0.545915961513856
1050,Mississippi260CurbPitchCandidate,densityXY,1,0,searchBoundary,3.52518786655318,0.292780362414796,3.52495761598158,-0.0402901976569566,NaN,NaN,55,0.44365297686285
1050,Mississippi260CurbPitchCandidate,densityXY,2,0,searchBoundary,2.51618899345498,0.268140484593303,2.5158017288298,-0.0441442182055619,NaN,NaN,52,0.430186092820132
1050,Mississippi260CurbPitchCandidate,densityXY,3,0,searchBoundary,3.05583471731016,-0.838015195773558,3.05026010134876,0.184496974603843,NaN,NaN,50,0.427234185546182
1050,Mississippi260CurbPitchCandidate,geometricXY,1,1,accepted,0.0684112227533772,-0.265380195577359,-0.0162462283314288,0.0664541606192966,3,0.952380952380952,8,0.641202500784088
1050,Mississippi260CurbPitchCandidate,geometricXY,2,1,accepted,0.0684185744699738,-0.265443236829817,-0.01623959263268,0.0664633505296562,3,0.952380952380952,6,0.641202258131156
1050,Mississippi260CurbPitchCandidate,geometricXY,3,1,accepted,0.0684115594504819,-0.265383279552855,-0.0162458962415228,0.0664545884176292,3,0.952380952380952,6,0.641202488973556
1050,Mississippi260CurbPitchCandidate,geometricHeight,1,1,accepted,0.0684112227533772,-0.265380195577359,-0.0162462283314288,0.0664541606192966,3,0.952380952380952,8,0.641202500784088
1050,Mississippi260CurbPitchCandidate,geometricHeight,2,1,accepted,0.0684185744699738,-0.265443236829817,-0.01623959263268,0.0664633505296562,3,0.952380952380952,6,0.641202258131156
1050,Mississippi260CurbPitchCandidate,geometricHeight,3,1,accepted,0.0684115594504819,-0.265383279552855,-0.0162458962415228,0.0664545884176292,3,0.952380952380952,6,0.641202488973556
