positionGain,velocityGain,accelerationGain,headingGain,positionRmseM,positionMaximumM,positionP95M,headingRmseDeg,certificateMargin,accuracyFeasible
6,1,12,2,0.165225667892019,0.862699932998063,0.281775992637746,0.45947983260375,1.33868754104585,1
8,1,12,2,0.161833452105195,0.869775984608356,0.2813550506661,0.45947983260375,1.53450554556283,0
10,1,12,2,0.161080909299189,0.871901499827655,0.284447482836094,0.45947983260375,1.64201779277482,0
3,4,12,2,0.172073439807488,0.852557579449239,0.294186167327309,0.45947983260375,1.34830760837604,0
4,4,12,2,0.163060532311269,0.86444911384598,0.284128516641213,0.45947983260375,1.83614987993616,1
5,4,12,2,0.15934004353685,0.872955985295993,0.277270660129,0.45947983260375,2.3219370364826,0
6,4,12,2,0.157849732586908,0.877861601850096,0.272863701180533,0.45947983260375,2.80512110043002,0
8,4,12,2,0.15744008194907,0.88164992655944,0.274209666827907,0.45947983260375,3.760372517889,0
10,4,12,2,0.158143895813993,0.881699452472805,0.280422677010882,0.45947983260375,4.69126696390118,0
3,8,12,2,0.170644247627015,0.862705933915603,0.291590485628797,0.45947983260375,1.4310786850978,0
4,8,12,2,0.162242947311901,0.8725707717963,0.282573402712269,0.45947983260375,1.92862449961063,0
