source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,temporalStability,weight,robustWeight,globalTarget,sourceXY_1,sourceXY_2,targetBodyXY_1,targetBodyXY_2,referenceDistanceM,detections,frameMask_1,frameMask_2,frameMask_3,frameMask_4,frameMask_5
46,61,curb,22.3984681087332,NaN,0.000524631086834545,0.4,0.00286894500592823,0.000625894069413974,722,5.80118322400057,7.80245680440174,0.308330382899975,6.53187673043922,5.63789021339875,2,0,1,0,1,0
47,61,curb,3.19748711044634,NaN,0.000524631086834545,0.4,0.00181582544274077,0.0012012621858548,722,7.15916379692878,6.99051647874143,0.308330382899975,6.53187673043922,6.86616842827907,2,0,1,0,1,0
48,61,curb,3.59178174656844,NaN,0.000524631086834545,0.4,0.00197322007579844,0.00125308869789155,722,7.63701706902782,6.96163309889237,0.308330382899975,6.53187673043922,7.34127639308408,2,0,1,0,1,0
49,70,curb,0.0438612595621078,NaN,0.00172314115876086,0.6,0.00332140977863304,0.00329826322194791,731,10.8200359633908,-2.08435178476002,14.0402000440997,-2.35269571638159,3.23132560605173,3,0,1,1,0,1
50,67,curb,27.688953386343,NaN,0.00097718142650001,0.4,0.000960837311645193,0.000176942203532975,728,13.0944735276662,-3.258789116192,8.17765180139982,-2.44159243371538,4.98426988692783,2,0,1,0,1,0
51,70,curb,0.00452218416793322,NaN,0.00172314115876086,0.8,0.00325950466902593,0.00325714796135497,731,14.025252165094,-2.00607600924045,14.0402000440997,-2.35269571638159,0.34694186900024,4,0,1,1,1,1
52,67,curb,29.4937957744102,NaN,0.00097718142650001,0.6,0.00201670487934922,0.000352631980539582,728,14.1334914817538,-3.30043497644356,8.17765180139982,-2.44159243371538,6.01744437542041,3,0,1,0,1,1
53,70,curb,3.35131897063078,NaN,0.00172314115876086,0.6,0.00220489400256394,0.00143528066905992,731,16.1441232186909,-2.46598951547459,14.0402000440997,-2.35269571638159,2.10697133570797,3,0,1,1,0,1
54,70,curb,0.00475651089074257,NaN,0.00172314115876086,0.8,0.00306545583115191,0.00306312466541899,731,17.1571083350522,-2.001188408533,14.0402000440997,-2.35269571638159,3.13666617313349,4,0,1,1,1,1
55,70,curb,3.62839371387453,NaN,0.00172314115876086,0.6,0.00130695737589701,0.000826904032776445,731,17.5023975752874,-2.45338306145186,14.0402000440997,-2.35269571638159,3.46366131231383,3,0,1,1,1,0
57,67,curb,2.3240740229343,NaN,0.00097718142650001,0.4,0.00350684871267617,0.00255628822373114,728,7.54985933862514,-2.44001093012438,8.17765180139982,-2.44159243371538,0.62779445479417,2,0,0,1,1,0
58,70,curb,4.32391403136905,NaN,0.00172314115876086,0.4,0.00203504204016985,0.001202867047465,731,15.8374450290911,-2.51864425268597,14.0402000440997,-2.35269571638159,1.80489014978153,2,0,0,1,1,0
59,146,pole,11.5805517750156,NaN,0.000372624613405367,0.6,0.0657218286682383,0.0230369443615342,1088,10.6607207229866,-3.57957204823083,10.3474479347709,-3.22138239191701,0.475856774383461,3,0,0,1,1,1
60,75,curb,6.96743397206215,NaN,0.00272072512547887,0.4,0.00125742672184032,0.00059458719658547,736,19.5779671624759,-2.51947862797868,24.2565935748213,-2.17726619004678,4.69112507389982,2,0,0,0,1,1
61,75,curb,0.0110578591132421,NaN,0.00272072512547887,0.4,0.00129111562450162,0.00128883534295881,736,19.4542489715529,-1.92908906159277,24.2565935748213,-2.17726619004678,4.80875301670071,2,0,0,0,1,1
