model,replicate,massKg,brakeGain
free_brake_gain,56,2324.8729538356515,0.7384607503439214
free_brake_gain,57,2378.8856490591847,0.7875288408028307
free_brake_gain,58,2037.4927675097179,0.4614505764125841
free_brake_gain,59,1839.8333275021319,0.2002423255544217
free_brake_gain,60,2195.710090363877,0.6030431259808756
free_brake_gain,61,2338.1861933922387,0.7660290907057364
free_brake_gain,62,2238.071772602383,0.7397480450973672
free_brake_gain,63,2328.37605300383,0.7551142548513986
free_brake_gain,64,2353.2565142553517,0.7723111896186949
free_brake_gain,65,1808.948872763184,0.22192883336983815
free_brake_gain,66,2093.4183143707355,0.5806650819333372
free_brake_gain,67,2251.1292051665296,0.7254670187351909
free_brake_gain,68,2301.549852520081,0.730842705796987
free_brake_gain,69,2272.7128958917588,0.6970288245524846
free_brake_gain,70,1328.9581032452688,0.1641494300302078
free_brake_gain,71,2212.4392540335034,0.6821267508791523
free_brake_gain,72,2097.6658444879454,0.5661198784165853
free_brake_gain,73,2235.589919613426,0.6431943703696378
free_brake_gain,74,2345.2128038456326,0.735099421138617
free_brake_gain,75,1797.574248370123,0.36629414059173904
free_brake_gain,76,2348.1424338910456,0.7514177696570835
free_brake_gain,77,2329.597069836177,0.7451190929455231
free_brake_gain,78,1844.504404091588,0.40501508068539943
free_brake_gain,79,2187.902150118686,0.6504269742529112
free_brake_gain,80,2314.3739979548322,0.6653688711597581
free_brake_gain,81,2195.9455209138623,0.5762830725810073
free_brake_gain,82,1638.2825754750488,1.3165303840043324e-13
free_brake_gain,83,2206.57857979337,0.6533959615592642
free_brake_gain,84,2260.508758263234,0.6710541423244374
free_brake_gain,85,2385.523329507533,0.8000688464498142
free_brake_gain,86,2360.4195847842902,0.7390222983719675
free_brake_gain,87,1353.6574690667403,0.16753752637959024
free_brake_gain,88,2272.2463229825294,0.7363955291893577
free_brake_gain,89,1936.1217100724275,0.4952700538751901
free_brake_gain,90,2203.8231169355395,0.5890503401687716
free_brake_gain,91,2179.8215798790425,0.5914103622559289
free_brake_gain,92,2304.017341950369,0.7571233497065133
free_brake_gain,93,2087.2309984714516,0.5269337186841466
free_brake_gain,94,2149.2481155179694,0.5334479199400042
free_brake_gain,95,2153.8709757148827,0.6776848579914833
free_brake_gain,96,2211.486584689112,0.6348435185597346
free_brake_gain,97,2252.2281690168948,0.6678345385976457
free_brake_gain,98,2340.9290932513,0.7297622169932545
