queryFrame,fixedFrame,training,qualityPassed,rmseM,errorX,errorY,yawErrorRad,queryPoints,fixedPoints,referenceYawChangeDeg,overlap,medianDistanceM,correctedResidualM,qx,qy,qa,fx,fy,fa,mx,my,ma
116,96,1,0,1.9741452037313,-0.315255669876933,0.898521905764937,0.00846086477751307,32996,29286,-20.0060597857414,0.446326827494242,0.362748859611744,0.576701938404666,484741.377624971,4976620.61811938,-2.59294324898849,484750.798631105,4976629.57954227,-2.24377163537647,484741.062369301,4976621.51664128,-2.58448238421098
116,101,1,0,1.31749872737486,-0.28591187595157,0.686098339036107,0.00461166759546305,32996,29601,-16.1232861338218,0.493241605043036,0.306891837557373,0.43358362828463,484741.377624971,4976620.61811938,-2.59294324898849,484749.141663164,4976627.47798133,-2.31153881971215,484741.091713095,4976621.30421772,-2.58833158139303
116,106,1,0,0.987442639171948,-0.203433570859488,0.467794721014798,0.00221855740651966,32996,30125,-11.2679308721387,0.561795369135653,0.247740543196657,0.295028314600772,484741.377624971,4976620.61811938,-2.59294324898849,484747.025452257,4976625.18233138,-2.39628075538255,484741.1741914,4976621.0859141,-2.59072469158197
121,101,1,0,1.8594871797212,-0.349883461371064,0.95139620359987,-0.00114911895970105,34459,29601,-21.5113474785327,0.4117066658928,0.411664490080968,0.555138216526798,484737.829821376,4976618.54320309,-2.68698265975313,484749.141663164,4976627.47798133,-2.31153881971215,484737.479937915,4976619.4945993,-2.68813177871283
121,106,1,0,1.41916406597766,-0.249621001828928,0.731878372840583,-0.00216167600326544,34459,30125,-16.6559922168496,0.482457413157666,0.316711897436604,0.432404268377199,484737.829821376,4976618.54320309,-2.68698265975313,484747.025452257,4976625.18233138,-2.39628075538255,484737.580200374,4976619.27508147,-2.68914433575639
121,111,1,0,0.97720279133982,-0.172211960831191,0.486061247996986,-0.00184302719530782,34459,31944,-11.2082565707378,0.566818537972663,0.244308705825737,0.28014260301856,484737.829821376,4976618.54320309,-2.68698265975313,484744.443789213,4976622.86430737,-2.49136167918546,484737.657609415,4976619.02926434,-2.68882568694844
126,106,1,0,1.98165804434354,-0.268640206253622,0.956837909296155,-0.00556520993349263,35004,30125,-20.5954591894179,0.401896926065593,0.414161700850737,0.515812386769192,484733.829225398,4976616.65567213,-2.75573932919802,484747.025452257,4976625.18233138,-2.39628075538255,484733.560585192,4976617.61251003,-2.76130453913151
126,111,1,0,1.56020541641647,-0.211637983447872,0.702022421173751,-0.00365961636953216,35004,31944,-15.1477235433061,0.481516398125928,0.316993326470703,0.350448702109988,484733.829225398,4976616.65567213,-2.75573932919802,484744.443789213,4976622.86430737,-2.49136167918546,484733.617587415,4976617.35769455,-2.75939894556755
126,116,1,0,1.13919704077625,-0.114821181225125,0.468231835402548,-0.00536667810458402,35004,32996,-9.32752831727921,0.55607930522226,0.254385569113426,0.192072701311889,484733.829225398,4976616.65567213,-2.75573932919802,484741.377624971,4976620.61811938,-2.59294324898849,484733.714404217,4976617.12390396,-2.7611060073026
131,111,1,0,2.27641123869477,-0.212510511628352,0.86226646322757,-0.00772307672437034,35218,31944,-18.0461014858279,0.407660855244477,0.393512772726484,0.417170383148,484729.415176318,4976614.92635742,-2.8063255672622,484744.443789213,4976622.86430737,-2.49136167918546,484729.202665806,4976615.78862388,-2.81404864398657
131,116,1,0,1.77094999784529,-0.128672091348562,0.65549477096647,-0.00988158126102334,35218,32996,-12.225906259801,0.475012777556931,0.324008935221337,0.233528258825744,484729.415176318,4976614.92635742,-2.8063255672622,484741.377624971,4976620.61811938,-2.59294324898849,484729.286504227,4976615.58185219,-2.81620714852322
