queryFrame,fixedFrame,training,qualityPassed,accepted,reason,errorX,errorY,yawErrorRad,similarity,matchedFraction,matches,correctedResidualM,qx,qy,qa,fx,fy,fa,mx,my,ma
76,56,1,1,1,accepted,-1.63291662163101,0.352190716192126,-0.00586374979173643,0.564149506923129,0.741935483870968,23,0.820598508649146,484754.769486228,4976636.14982719,-2.06222298827053,484755.952705224,4976642.69872573,-1.79165773445553,484753.136569606,4976636.50201791,-2.06808673806227
76,61,1,1,1,accepted,-0.899151575926226,0.290829665027559,-0.00983960567822173,0.694355573340787,0.774193548387097,24,0.339254472241561,484754.769486228,4976636.14982719,-2.06222298827053,484756.088554653,4976640.92424448,-1.87238038059757,484753.870334652,4976636.44065686,-2.07206259394875
76,66,1,1,1,accepted,-0.354044296196662,0.164639243856072,-0.00442512715636445,0.834261118940238,0.967741935483871,30,0.0304936376208118,484754.769486228,4976636.14982719,-2.06222298827053,484755.98776287,4976639.24753684,-1.9493489154274,484754.415441932,4976636.31446644,-2.06664811542689
81,51,1,1,1,accepted,-2.20170033187605,0.547106918878853,-0.0081133677638312,0.380010445419334,0.342857142857143,12,0.984697347891184,484753.999667463,4976634.61790569,-2.10853460623948,484756.039990674,4976644.61399503,-1.70507554969226,484751.797967131,4976635.1650126,-2.11664797400331
81,56,1,1,1,accepted,-1.72863010090077,0.51013514958322,-0.00206237317039282,0.363802881024562,0.457142857142857,16,0.790890771588796,484753.999667463,4976634.61790569,-2.10853460623948,484755.952705224,4976642.69872573,-1.79165773445553,484752.271037362,4976635.12804084,-2.11059697940987
81,61,1,1,1,accepted,-1.0191910493304,0.478077605366707,-0.00757835080093283,0.436527288314014,0.457142857142857,16,0.351023737372624,484753.999667463,4976634.61790569,-2.10853460623948,484756.088554653,4976640.92424448,-1.87238038059757,484752.980476414,4976635.09598329,-2.11611295704041
81,66,1,1,1,accepted,-0.448941428621765,0.344245790503919,-0.00249906180382231,0.552880630202451,0.6,21,0.0826229302946552,484753.999667463,4976634.61790569,-2.10853460623948,484755.98776287,4976639.24753684,-1.9493489154274,484753.550726034,4976634.96215148,-2.1110336680433
81,71,1,1,1,accepted,-0.22607021877775,0.271027462556958,-0.00196279336439886,0.582141907181485,0.657142857142857,23,0.112808112576722,484753.999667463,4976634.61790569,-2.10853460623948,484755.420174869,4976637.6638863,-2.01196992124979,484753.773597244,4976634.88893315,-2.11049739960388
86,56,1,1,1,accepted,-1.89641077414853,0.638972696848214,-0.00859791278163735,0.402900355830139,0.315789473684211,12,0.852649445848797,484753.108566838,4976633.04982298,-2.14993440700194,484755.952705224,4976642.69872573,-1.79165773445553,484751.212156064,4976633.68879567,-2.15853231978358
86,61,1,1,1,accepted,-1.19406156649347,0.499258703552186,-0.00984081508532908,0.361976514235084,0.315789473684211,12,0.399330033395847,484753.108566838,4976633.04982298,-2.14993440700194,484756.088554653,4976640.92424448,-1.87238038059757,484751.914505272,4976633.54908168,-2.15977522208727
